Provider Name,AHFoZ Number,Registration Number,Provider Type,Speciality,Medical Aid Accepted,Organisation,Address,City,Province,Phone,Mobile,Email,Website,Contact Person,Latitude,Longitude,Source URL,Source Title,Last Verified,Notes
RUVHENEKO CLINIC,82079,,Dentist,Dentistry,PSMAS,PSMAS Network,KUWADZANA 5 SHOPPING COMPLEX,Kuwadzana,Harare,421136300,421136300,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/PSMAS-PROVIDER-NETWORK-LIST-07-26.pdf,PSMAS Provider Network PDF - PSMAS-PROVIDER-NETWORK-LIST-07-26,2026-07-27,Section: DENTISTS | Section: PHARMACIES | Imported from repository PSMAS Excel
RUWA,35054,,Rehabilitation Centre,,PSMAS,PSMAS Network,SHOP NO 2 T M COMPLEX,Ruwa,Harare,,777259237,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: REHABILITATION | Imported from repository PSMAS Excel | Section: REHABILITATION
RUWA PHARMACY,86622,,Pharmacy,,PSMAS,PSMAS Network,"SHOP 7, CIPF COMPLEX,3788 SANSOUCI ROAD, RUWA",Ruwa,Harare,,775110536,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: PHARMACIES | Imported from repository PSMAS Excel | Section: PHARMACIES
RUWENDE MISHECK,12211,,Doctor,General Practitioner,PSMAS,PSMAS Network,"40278 SIMBARASHE CLOSE, BELVEDERE",Belvedere,Harare,,716371333,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: GENERAL PRACTITIONERS | Imported from repository PSMAS Excel | Section: LABORATORY
RWAFA,134624,,Doctor,Psychiatrist,PSMAS,PSMAS Network,"786 HELVETIA RD, HELENSVALE",Helensvale,Harare,,777844061,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-SPECIALISTS-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-SPECIALISTS-NETWORK-07-26,2026-07-27,Section: PSYCHIATRISTS | Imported from repository PSMAS Excel | Section: PSYCHIATRISTS
S 24 MEDICAL CENTRE,500313,,Pharmacy,,PSMAS,PSMAS Network,SHAMVA,Shamva,Mashonaland Central,,773844989,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MASHONALAND-CENTRAL-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MASHONALAND-CENTRAL-NETWORK-07-26,2026-07-27,Section: MBIRE MT DARWIN CROSS COUNTRY PHARMACY MT DARWIN | Imported from repository PSMAS Excel | Section: MBIRE MT DARWIN CROSS COUNTRY PHARMACY MT DARWIN
S GORORO,185631,,Pharmacy,,PSMAS,PSMAS Network,SHOP 17 NSSA COMPLEX GWANDA,Gwanda,Matabeleland South,,775401608,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MATEBELELAND-SOUTH-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MATEBELELAND-SOUTH-PROVIDER-NETWORK-07-26,2026-07-27,Section: PHARMACY
SACHIKONYE M,16114,,Doctor,Surgeon,PSMAS,PSMAS Network,3 JULIA COURT 7 BAINES AVENUE HARARE,Cbd,Harare,,772358338,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-SPECIALISTS-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-SPECIALISTS-NETWORK-07-26,2026-07-27,Section: GENERAL SURGEONS | Imported from repository PSMAS Excel | Section: GENERAL SURGEONS
SADZA HOSPITAL,40916,,Ambulance Service,,PSMAS,PSMAS Network,SADZA,Sadza,Mashonaland East,,778797922,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MASHONALAND-EAST-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MASHONALAND-EAST-NETWORK-07-26,2026-07-27,Section: AMBULANCE SERVICES | Imported from repository PSMAS Excel | Section: AMBULANCE SERVICES
SAKUBVA DISTRICT HOSPITAL,40851,,Hospital,,PSMAS,PSMAS Network,PAULINGTON,Cbd,Manicaland,775589392,775589392,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MANICALAND-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MANICALAND-NETWORK-07-26,2026-07-27,Section: HOSPITALS | Imported from repository PSMAS Excel | Section: HOSPITALS
SAMAKANDE SIMBARASHE,250031,,Doctor,Specialist,PSMAS,PSMAS Network,9 COLENBRANDER ROAD,Milton Park,Harare,776734933,736959241,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-SPECIALISTS-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-SPECIALISTS-NETWORK-07-26,2026-07-27,Section: SPECIALIST SERVICES -ECG | Imported from repository PSMAS Excel | Section: SPECIALIST SERVICES -ECG
SAMARITAN EYE CARE,800546,,Optical Centre,Optometry,PSMAS,PSMAS Network,"10 FANUM HOUSE, RG MUGABE /4TH STREET",Cbd,Manicaland,202022402,788899650,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MANICALAND-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MANICALAND-NETWORK-07-26,2026-07-27,Section: OPTICIANS | Imported from repository PSMAS Excel | Section: OPTICIANS
SAMARITAN EYE CARE,800368,,Optical Centre,Optometry,PSMAS,PSMAS Network,CENTRAL PARK MALL,Cbd,Manicaland,,789434241,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MANICALAND-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MANICALAND-NETWORK-07-26,2026-07-27,Section: OPTICIANS | Imported from repository PSMAS Excel | Section: OPTICIANS
SANMED CENTRE,460834,,Radiology Centre,Radiology,PSMAS,PSMAS Network,8199 -SHOP 1 KUWADZANA 5 SHOPPING CENTRE,Kuwadzana 5,Harare,715357892,774691236,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: RADIOLOGY
SANTA MARIA,820067,,Doctor,General Practitioner,PSMAS,PSMAS Network,1227 MBUYANEHANDA CHERUTOMBO,Marondera,Mashonaland East,,772107950,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MASHONALAND-EAST-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MASHONALAND-EAST-NETWORK-07-26,2026-07-27,Section: GENERAL PRACTITIONERS | Imported from repository PSMAS Excel | Section: GENERAL PRACTITIONERS
SANTA THADEU DENTAL SERVICES,480029,,Dentist,Dentistry,PSMAS,PSMAS Network,6 WAVERLY CLOSE SENTOSA,Mabelreign,Harare,242333022,718355580,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: DENTISTS | Imported from repository PSMAS Excel | Section: DENTISTS
SANTA THADEU HEALTH SERVICES,11312,,Doctor,General Practitioner,PSMAS,PSMAS Network,6 WAVERLY CLOSE SENTOSA,Mabelreign,Harare,242333022,718355580,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: GENERAL PRACTITIONERS | Imported from repository PSMAS Excel | Section: GENERAL PRACTITIONERS
SANTA THADEU HEALTH SERVICES,140236,,Clinic,Psychology,PSMAS,PSMAS Network,"6 WAVERLEY CLOSE, SENTOSA",Sentosa,Harare,2422333022,718355580,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-SPECIALISTS-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-SPECIALISTS-NETWORK-07-26,2026-07-27,Section: CLINICAL PSYCHOLOGISTS | Imported from repository PSMAS Excel | Section: CLINICAL PSYCHOLOGISTS
SANTE 24 XRAY CENTRE,691284,,Radiology Centre,Radiology,PSMAS,PSMAS Network,SHOP 5 SOUTHERTON SHOPPING CENTRE,Southerton,Harare,0242620588,8644145077,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: RADIOLOGY | Imported from repository PSMAS Excel | Section: RADIOLOGY
SANTE HOSPITAL,502044,,Private Hospital,,PSMAS,PSMAS Network,SHOP 5 SOUTHERTON SHOPS,Harare,Harare,8644137947,8644145077,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: PRIVATE HOSPITALS | Imported from repository PSMAS Excel | Section: PRIVATE HOSPITALS
SARFRAZ M,1788,,Doctor,General Practitioner,PSMAS,PSMAS Network,58 PALMER ROAD,Milton Park,Harare,242790225,772270250,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: GENERAL PRACTITIONERS | Imported from repository PSMAS Excel | Section: GENERAL PRACTITIONERS
SAUNGWEME G,18848,,Healthcare Provider,,PSMAS,PSMAS Network,60 BAINES AVENUE,Avenues,Harare,242706263,772411227,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-SPECIALISTS-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-SPECIALISTS-NETWORK-07-26,2026-07-27,Section: OPTICALS | Imported from repository PSMAS Excel | Section: OPTICALS
SCANCARE DIAGNOSTIC CENTRE,460613,,Radiology Centre,Radiology,PSMAS,PSMAS Network,NO 26 BLACKISTON AVENUE,Cbd,Harare,242790676,719660601,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: RADIOLOGY | Imported from repository PSMAS Excel | Section: PHARMACIES
SCOVILLE PHARMACY,273732,,Pharmacy,,PSMAS,PSMAS Network,47 FIFE AVENUE,Avenues,Harare,,786679209,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: PHARMACIES | Imported from repository PSMAS Excel | Section: PHARMACIES
SEASONS PHARMACY,274364,,Pharmacy,,PSMAS,PSMAS Network,"120 CHINHOYI STREET, SHOP 18",Cbd,Harare,242748617,780937292,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: PHARMACIES | Imported from repository PSMAS Excel | Section: PHARMACIES
SERENITY,960055,,Dialysis Centre,,PSMAS,PSMAS Network,30 14TH AVE BETWEEN FORT STREET AND HEBERT CHITEPO,Bulawayo,Bulawayo,719230960,773960000,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/BULAWAYO-PROVINCE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - BULAWAYO-PROVINCE-PROVIDER-NETWORK-07-26,2026-07-27,Section: DIALYSIS CENTRE | Imported from repository PSMAS Excel | Section: DIALYSIS CENTRE
SEYANI. M B,74101,,Dentist,Dentistry,PSMAS,PSMAS Network,17 – 6TH STREET GWERU,Gweru,Midlands,0542222535,773861660,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MIDLANDS-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MIDLANDS-PROVIDER-NETWORK-07-26,2026-07-27,Section: DENTIST | Imported from repository PSMAS Excel | Section: DENTIST
SHALOM PHARMACY,429708,,Occupational Health Clinic,,PSMAS,PSMAS Network,"8384 WARREN PARK INDUSTRIAL AREA, WESTLEA",Westlea,Harare,,777469336,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: WELLNESS PROVIDERS | Imported from repository PSMAS Excel | Section: PHARMACIES
SHALOM ROSE SURGERY,12459,,Doctor,General Practitioner,PSMAS,PSMAS Network,395 YORK STREET,Chivhu,Masvingo,,772388935,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MASVINGO-PROVIDERS-LIST-07-26.pdf,PSMAS Provider Network PDF - MASVINGO-PROVIDERS-LIST-07-26,2026-07-27,Section: PRIVATE CLINICS | Imported from repository PSMAS Excel | Section: PRIVATE CLINICS
SHAMVA,40908,,Pharmacy,,PSMAS,PSMAS Network,SHAMVA,Shamva,Mashonaland Central,,773509573,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MASHONALAND-CENTRAL-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MASHONALAND-CENTRAL-NETWORK-07-26,2026-07-27,Section: MBIRE MT DARWIN CROSS COUNTRY PHARMACY MT DARWIN
SHASHI HOSPITAL,50962,,Private Hospital,,PSMAS,PSMAS Network,169 CHURCH ROAD,Bindura,Mashonaland Central,,08677008235,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MASHONALAND-CENTRAL-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MASHONALAND-CENTRAL-NETWORK-07-26,2026-07-27,Section: PRIVATE HOSPITALS | Imported from repository PSMAS Excel | Section: PRIVATE HOSPITALS
SHASHI PSMI RADIOLOGY,30003,,Radiology Centre,Radiology,PSMAS,PSMAS Network,SHASHI HOSPITAL 169 CHURCH ROAD,Bindura,Mashonaland Central,08677008235,788784806,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MASHONALAND-CENTRAL-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MASHONALAND-CENTRAL-NETWORK-07-26,2026-07-27,Section: RADIOLOGY | Imported from repository PSMAS Excel | Section: RADIOLOGY
SHAWATU SIMBA,10499,,Doctor,General Practitioner,PSMAS,PSMAS Network,TONGOGARA BTWN 12TH AND 13TH AVE,Bulawayo,Bulawayo,,774104897,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/BULAWAYO-PROVINCE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - BULAWAYO-PROVINCE-PROVIDER-NETWORK-07-26,2026-07-27,Section: GENERAL PRACTITIONERS | Imported from repository PSMAS Excel | Section: GENERAL PRACTITIONERS
SHOKO B.,62144,,Doctor,General Practitioner,PSMAS,PSMAS Network,STAND NUMBER 7828 SOUTHLEA PARK,Southlea Park,Harare,,716801828,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/PSMAS-PROVIDER-NETWORK-LIST-07-26.pdf,PSMAS Provider Network PDF - PSMAS-PROVIDER-NETWORK-LIST-07-26,2026-07-27,Section: GENERAL PRACTITIONERS | Section: PHARMACIES | Imported from repository PSMAS Excel
SHOWERS PHARMACY,274224,,Pharmacy,,PSMAS,PSMAS Network,"49 GEORGE SILUNDIKA ,AFGATE HOUSE HARARE",Cbd,Harare,,776376046,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: PHARMACIES | Imported from repository PSMAS Excel | Section: PHARMACIES
SHURUGWI DENTAL SURGERY,480355,,Dentist,Dentistry,PSMAS,PSMAS Network,90 MAY STREET SHURUGWI,Shurugwi,Midlands,,785125122,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MIDLANDS-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MIDLANDS-PROVIDER-NETWORK-07-26,2026-07-27,Section: DENTIST | Imported from repository PSMAS Excel | Section: DENTIST
SHURUGWI HOSPITAL,40770,,Doctor,ENT,PSMAS,PSMAS Network,PO SHURUGWI,Shurugwi,Midlands,526477000,526477000,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MIDLANDS-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MIDLANDS-PROVIDER-NETWORK-07-26,2026-07-27,Section: GOVERNMENT HOSPITAL | Imported from repository PSMAS Excel | Section: GOVERNMENT HOSPITAL
SHURUGWI IMPALI PRIVATE HOSPITAL,500453,,Private Hospital,,PSMAS,PSMAS Network,3916 IMPALI SOURCE SHURUGWI,Shurugwi,Midlands,542526935,542526935,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MIDLANDS-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MIDLANDS-PROVIDER-NETWORK-07-26,2026-07-27,Section: PRIVATE HOSPITAL | Imported from repository PSMAS Excel | Section: PRIVATE HOSPITAL
SHURUGWI IMPALI PVT HOSP AMBULANCE,560197,,Ambulance Service,,PSMAS,PSMAS Network,"3916 IMPALI SOURCE, SHURUGWI",Shurugwi,Midlands,,542526935,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MIDLANDS-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MIDLANDS-PROVIDER-NETWORK-07-26,2026-07-27,Section: AMBULANCES | Imported from repository PSMAS Excel | Section: AMBULANCES
SHURUGWI IMPALI PVT HOSP LAB,290297,,Laboratory,,PSMAS,PSMAS Network,"3916 IMPALI SOURCE, SHURUGWI",Shurugwi,Midlands,542526935,776949160,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MIDLANDS-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MIDLANDS-PROVIDER-NETWORK-07-26,2026-07-27,Section: LABORATORY | Imported from repository PSMAS Excel | Section: LABORATORY
SHURUGWI MEDICAL CENTRE,10189,,Doctor,General Practitioner,PSMAS,PSMAS Network,"289 BEIT STREET, SHURUGWI",Shurugwi,Midlands,522526096,522526096,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MIDLANDS-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MIDLANDS-PROVIDER-NETWORK-07-26,2026-07-27,Section: GENERAL PRACTITIONER | Imported from repository PSMAS Excel | Section: GENERAL PRACTITIONER
SHURUGWI SURGERY,6534,,Doctor,General Practitioner,PSMAS,PSMAS Network,"MAY STREET, SHURUGWI",Shurugwi,Midlands,2634705186,2634705186,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MIDLANDS-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MIDLANDS-PROVIDER-NETWORK-07-26,2026-07-27,Section: GENERAL PRACTITIONER | Imported from repository PSMAS Excel | Section: GENERAL PRACTITIONER
SIBANDA M,18504,,Doctor,General Practitioner,PSMAS,PSMAS Network,21A CONNAUGHT AVE/FORT ST,Bulawayo,Bulawayo,,773716535,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/BULAWAYO-PROVINCE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - BULAWAYO-PROVINCE-PROVIDER-NETWORK-07-26,2026-07-27,Section: GENERAL PRACTITIONERS | Imported from repository PSMAS Excel | Section: GENERAL PRACTITIONERS
SIBANDA. J,600490,,Doctor,Anaesthetist,PSMAS,PSMAS Network,7 TAIT CRESCENT LUNDI PARK GWERU,Gweru,Midlands,054223330,772244144,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/PSMAS-PROVIDER-NETWORK-LIST-07-26.pdf,PSMAS Provider Network PDF - PSMAS-PROVIDER-NETWORK-LIST-07-26,2026-07-27,Section: NURSE ANAESTHETIST | Section: PHARMACIES | Imported from repository PSMAS Excel
SIBIYA AVOGADRO,12874,,Doctor,General Practitioner,PSMAS,PSMAS Network,SIBIYA AVOGADRO,Kwekwe,Midlands,,774810745,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MIDLANDS-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MIDLANDS-PROVIDER-NETWORK-07-26,2026-07-27,Section: GENERAL PRACTITIONERS | Imported from repository PSMAS Excel | Section: GENERAL PRACTITIONERS
SIDEWAYS EMERGENCY AMBULANCE SERVICES,560065,,Ambulance Service,,PSMAS,PSMAS Network,"2050 MARIDALE, NORTON",Norton,Harare,,0773440380,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: AMBULANCES | Imported from repository PSMAS Excel | Section: AMBULANCES
SILOBELA HOSPITAL,40460,,Doctor,ENT,PSMAS,PSMAS Network,SILOBELA,Kwekwe,Midlands,,773078950,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MIDLANDS-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MIDLANDS-PROVIDER-NETWORK-07-26,2026-07-27,Section: GOVERNMENT HOSPITAL | Imported from repository PSMAS Excel | Section: GOVERNMENT HOSPITAL
SILVER LINING MEDICAL CENTER,11835,,Radiology Centre,Radiology,PSMAS,PSMAS Network,58 GEORGE SILUNDIKA,Cbd,Harare,,787063926,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: RADIOLOGY | Imported from repository PSMAS Excel | Section: RADIOLOGY
SILVER LINING MEDICAL LABORATORIES,450421,,Laboratory,,PSMAS,PSMAS Network,58 GEORGE SILUNDIKA,Cbd,Harare,787063922,787063926,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: LABORATORIES | Imported from repository PSMAS Excel | Section: LABORATORIES
SIMANGO,96232,,Doctor,General Practitioner,PSMAS,PSMAS Network,33 9TH AVENUE& H/CHITEPO,Bulawayo,Bulawayo,2268089,784231553,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/BULAWAYO-PROVINCE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - BULAWAYO-PROVINCE-PROVIDER-NETWORK-07-26,2026-07-27,Section: GENERAL PRACTITIONERS | Imported from repository PSMAS Excel | Section: GENERAL PRACTITIONERS
SIMANGO N F,18813,,Healthcare Provider,,PSMAS,PSMAS Network,16 TONGOGARA AVENUE,Avenues,Harare,242707924,735433763,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-SPECIALISTS-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-SPECIALISTS-NETWORK-07-26,2026-07-27,Section: OPTICALS | Imported from repository PSMAS Excel | Section: OPTICALS
SIMED PHARMACY- GLAUDINA,274151,,Occupational Health Clinic,,PSMAS,PSMAS Network,"139 MARWEDE COMPLEX, GLAUDINA",Glaudina,Harare,,775772776,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: WELLNESS PROVIDERS | Imported from repository PSMAS Excel | Section: PHARMACIES
SIMED PHARMACY-GLEN VIEW 1,429694,,Occupational Health Clinic,,PSMAS,PSMAS Network,"4202 GLEN VIEW 1, MAKOMVA SHOPPING CENTRE, GLEN VIEW 1",Glen View 1,Harare,,774557501,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: WELLNESS PROVIDERS | Section: PHARMACIES
SIMON TSURO CLINIC,11957,,Doctor,General Practitioner,PSMAS,PSMAS Network,66 CORNER 5TH STREET / LIVINGSTONE,Cbd,Harare,240764403,716595800,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: GENERAL PRACTITIONERS | Imported from repository PSMAS Excel | Section: GENERAL PRACTITIONERS
SISK DENTAL SURGERY,480185,,Dentist,Dentistry,PSMAS,PSMAS Network,"1707 MAHACCHI STREET, CHESVINGO",Masvingo,Masvingo,,782173289,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MASVINGO-PROVIDERS-LIST-07-26.pdf,PSMAS Provider Network PDF - MASVINGO-PROVIDERS-LIST-07-26,2026-07-27,Section: DENTIST | Imported from repository PSMAS Excel | Section: DENTIST
SITHANDAZILE MABHENA,594463,,Doctor,Anaesthetist,PSMAS,PSMAS Network,GWANDA HOSPITAL BOX 125 GWANDA,Gwanda,Matabeleland South,,778665105,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MATEBELELAND-SOUTH-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MATEBELELAND-SOUTH-PROVIDER-NETWORK-07-26,2026-07-27,Section: NURSE ANAESTHETISTS
SITHOLE EMMANUEL,53759,,Doctor,General Practitioner,PSMAS,PSMAS Network,TONGOGARA BTWN 12TH AND 13TH AVE,Bulawayo,Bulawayo,,772810302,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/BULAWAYO-PROVINCE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - BULAWAYO-PROVINCE-PROVIDER-NETWORK-07-26,2026-07-27,Section: GENERAL PRACTITIONERS | Imported from repository PSMAS Excel | Section: GENERAL PRACTITIONERS
SITHOLE P,67148,,Doctor,Anaesthetist,PSMAS,PSMAS Network,C/O BINDURA PROVINCIAL HOSPITAL,Bindura,Mashonaland Central,,772781749,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/MASHONALAND-CENTRAL-NETWORK-07-26.pdf,PSMAS Provider Network PDF - MASHONALAND-CENTRAL-NETWORK-07-26,2026-07-27,Section: NURSE ANAESTHETIST | Imported from repository PSMAS Excel | Section: NURSE ANAESTHETIST
SIWAWA C,140287,,Clinic,Psychology,PSMAS,PSMAS Network,"FOUNTAIN COURT, CNR KWAME NKRUMAH AND PARK STREET",Cbd,Harare,719437514,776788355,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-SPECIALISTS-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-SPECIALISTS-NETWORK-07-26,2026-07-27,Section: CLINICAL PSYCHOLOGISTS | Imported from repository PSMAS Excel | Section: CLINICAL PSYCHOLOGISTS
SKIN &GU CLINIC,387350,,Doctor,Specialist,PSMAS,PSMAS Network,25 5TH STREET CNR NELSON MANDELA & KWAME,Cbd,Harare,242708193,8644056156,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-SPECIALISTS-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-SPECIALISTS-NETWORK-07-26,2026-07-27,Section: SPECIALIST SERVICES -ECG | Imported from repository PSMAS Excel | Section: SPECIALIST SERVICES -ECG
SKY DENTAL CLINIC,700193,,Doctor,General Practitioner,PSMAS,PSMAS Network,106B NELSON MANDELA,Cbd,Harare,,715266706,,,,,,https://psmas.co.zw/wp-content/uploads/2026/07/HARARE-PROVIDER-NETWORK-07-26.pdf,PSMAS Provider Network PDF - HARARE-PROVIDER-NETWORK-07-26,2026-07-27,Section: GENERAL PRACTITIONERS | Imported from repository PSMAS Excel | Section: DENTISTS
